iter	Passed	Remaining
530	30177	253976
531	30227	253866
532	30277	253750
533	30325	253624
534	30381	253555
535	30435	253477
536	30490	253407
537	30540	253296
538	30592	253198
539	30642	253080
540	30690	252958
541	30741	252850
542	30794	252764
543	30865	252821
544	30916	252722
545	30970	252644
546	31021	252535
547	31076	252471
548	31129	252381
549	31179	252269
550	31233	252189
551	31285	252097
552	31340	252027
553	31391	251924
554	31448	251869
555	31497	251754
556	31549	251656
557	31598	251539
558	31650	251450
559	31704	251370
560	31754	251264
561	31808	251184
562	31859	251086
563	31909	250976
564	31958	250863
565	32011	250778
566	32063	250683
567	32113	250575
568	32169	250514
569	32218	250403
570	32272	250326
571	32326	250248
572	32375	250133
573	32430	250062
574	32485	249993
575	32540	249925
576	32593	249846
577	32645	249757
578	32700	249685
579	32752	249594
580	32802	249489
581	32851	249380
582	32904	249296
583	32953	249186
584	33007	249111
585	33065	249061
586	33118	248978
587	33171	248898
588	33231	248872
589	33290	248831
590	33348	248788
591	33411	248777
592	33469	248735
593	33536	248755
594	33596	248725
595	33653	248675
596	33709	248614
597	33761	248524
598	33814	248446
599	33870	248382
600	33927	248327
601	33981	248258
602	34032	248163
603	34082	248054
604	34135	247974
605	34189	247903
606	34241	247814
607	34290	247706
608	34344	247626
609	34394	247526
610	34449	247460
611	34501	247375
612	34552	247275
613	34605	247200
614	34655	247100
615	34709	247021
616	34763	246949
617	34816	246872
618	34867	246773
619	34917	246673
620	34969	246584
621	35022	246510
622	35077	246442
623	35127	246342
624	35179	246253
625	35234	246194
626	35403	246923
627	35452	246813
628	35503	246721
629	35555	246629
630	35609	246560
631	35663	246486
632	35715	246396
633	35765	246294
634	35818	246216
635	35868	246117
636	35920	246032
637	35973	245948
638	36023	245852
639	36072	245745
640	36128	245687
641	36182	245612
642	36233	245516
643	36285	245437
644	36339	245361
645	36392	245284
646	36446	245208
647	36495	245105
648	36551	245044
649	36604	244965
650	36660	244911
651	36716	244849
652	36768	244768
653	36820	244683
654	36870	244582
655	36919	244480
656	36973	244407
657	37028	244344
658	37078	244246
659	37127	244143
660	37180	244065
661	37235	244000
662	37289	243931
663	37341	243847
664	37393	243762
665	37445	243679
666	37496	243585
667	37547	243497
668	37604	243443
669	37653	243343
670	37704	243252
671	37760	243193
672	37810	243102
673	37861	243012
674	37915	242940
675	37966	242849
676	38019	242774
677	38072	242696
678	38125	242620
679	38176	242532
680	38226	242436
681	38278	242355
682	38332	242283
683	38383	242197
684	38452	242220
685	38506	242154
686	38560	242086
687	38612	242004
688	38666	241934
689	38719	241856
690	38773	241788
691	38825	241706
692	38878	241630
693	38928	241533
694	38978	241443
695	39030	241361
696	39083	241288
697	39135	241205
698	39185	241112
699	39239	241044
700	39291	240960
701	39342	240877
702	39393	240789
703	39447	240719
704	39499	240639
705	39553	240571
706	39606	240498
707	39658	240413
708	39713	240354
709	39764	240264
710	39819	240204
711	39873	240135
712	39927	240066
713	39981	240003
714	40036	239938
715	40093	239888
716	40149	239836
717	40203	239767
718	40256	239688
719	40308	239613
720	40359	239525
721	40411	239447
722	40461	239356
723	40515	239285
724	40568	239211
725	40690	239547
726	40746	239488
727	40796	239402
728	40849	239323
729	40899	239235
730	40953	239167
731	41004	239083
732	41058	239011
733	41116	238969
734	41171	238908
735	41239	238921
736	41291	238840
737	41345	238775
738	41402	238720
739	41453	238634
740	41501	238537
741	41555	238467
742	41607	238388
743	41660	238313
744	41711	238233
745	41766	238171
746	41817	238087
747	41868	238002
748	41923	237941
749	41975	237862
750	42027	237779
751	42079	237702
752	42134	237640
753	42188	237577
754	42243	237512
755	42302	237473
756	42358	237420
757	42412	237353
758	42464	237274
759	42516	237194
760	42568	237118
761	42624	237062
762	42677	236988
763	42732	236930
764	42789	236877
765	42840	236796
766	42892	236719
767	42944	236640
768	43000	236584
769	43052	236511
770	43110	236464
771	43175	236459
772	43253	236522
773	43312	236484
774	43371	236447
775	43423	236369
776	43477	236300
777	43530	236227
778	43583	236154
779	43636	236083
780	43688	236007
781	43746	235963
782	43802	235908
783	43857	235843
784	43908	235762
785	43960	235686
786	44011	235601
787	44062	235522
788	44116	235456
789	44168	235379
790	44221	235306
791	44273	235232
792	44324	235150
793	44377	235078
794	44431	235009
795	44484	234940
796	44536	234865
797	44588	234790
798	44643	234728
799	44695	234653
800	44761	234647
801	44811	234562
802	44864	234488
803	44917	234419
804	44969	234343
805	45024	234281
806	45074	234195
807	45124	234112
808	45179	234051
809	45231	233973
810	45283	233900
811	45336	233830
812	45387	233747
813	45437	233663
814	45488	233583
815	45540	233507
816	45593	233434
817	45645	233361
818	45700	233299
819	45751	233222
820	45804	233149
821	45855	233070
822	45907	232994
823	45959	232918
824	46014	232863
825	46070	232806
826	46236	233307
827	46290	233240
828	46341	233161
829	46393	233083
830	46444	233002
831	46496	232930
832	46548	232856
833	46602	232790
834	46656	232721
835	46707	232645
836	46758	232561
837	46814	232509
838	46869	232446
839	46919	232364
840	46971	232285
841	47024	232220
842	47075	232140
843	47127	232061
844	47176	231974
845	47230	231908
846	47282	231835
847	47333	231757
848	47385	231682
849	47437	231608
850	47488	231525
851	47539	231446
852	47589	231365
853	47641	231292
854	47694	231221
855	47749	231162
856	47811	231134
857	47866	231074
858	47929	231056
859	47988	231015
860	48047	230972
861	48104	230923
862	48160	230870
863	48212	230795
864	48267	230734
865	48326	230696
866	48385	230655
867	48465	230711
868	48542	230758
869	48606	230740
870	48664	230693
871	48720	230639
872	48777	230588
873	48834	230537
874	48889	230477
875	48947	230431
876	49002	230375
877	49056	230309
878	49110	230244
879	49172	230215
880	49228	230163
881	49284	230105
882	49340	230050
883	49394	229984
884	49450	229928
885	49506	229876
886	49563	229825
887	49618	229765
888	49674	229709
889	49732	229662
890	49789	229614
891	49848	229571
892	49903	229512
893	49960	229460
894	50017	229411
895	50077	229372
896	50130	229304
897	50183	229236
898	50239	229181
899	50295	229124
900	50354	229080
901	50416	229053
902	50475	229012
903	50537	228984
904	50594	228933
905	50653	228891
906	50713	228853
907	50771	228805
908	50829	228758
909	50889	228722
910	50947	228676
911	51002	228614
912	51059	228566
913	51113	228501
914	51167	228438
915	51224	228387
916	51279	228323
917	51334	228265
918	51390	228209
919	51446	228155
920	51504	228106
921	51560	228050
922	51619	228009
923	51758	228319
924	51816	228270
925	51882	228261
926	51939	228206
927	51995	228152
928	52056	228116
929	52113	228066
930	52167	227999
931	52224	227950
932	52279	227889
933	52335	227833
934	52393	227783
935	52449	227728
936	52504	227670
937	52560	227613
938	52615	227552
939	52689	227572
940	52742	227506
941	52800	227457
942	52855	227398
943	52915	227357
944	52974	227314
945	53033	227271
946	53091	227222
947	53147	227165
948	53202	227107
949	53271	227106
950	53328	227052
951	53385	227001
952	53440	226938
953	53495	226878
954	53553	226830
955	53610	226779
956	53669	226736
957	53728	226693
958	53784	226633
959	53839	226573
960	53895	226518
961	53952	226466
962	54008	226409
963	54061	226341
964	54118	226286
965	54176	226240
966	54231	226181
967	54288	226126
968	54344	226072
969	54401	226016
970	54456	225958
971	54511	225897
972	54567	225839
973	54621	225777
974	54679	225727
975	54736	225677
976	54792	225619
977	54849	225565
978	54906	225515
979	54962	225460
980	55020	225411
981	55077	225359
982	55135	225311
983	55194	225265
984	55249	225203
985	55308	225161
986	55365	225108
987	55421	225051
988	55478	224999
989	55535	224947
990	55595	224907
991	55650	224846
992	55707	224795
993	55764	224740
994	55825	224702
995	55880	224644
996	55934	224579
997	55991	224528
998	56048	224475
999	56105	224420
1000	56160	224361
1001	56214	224297
1002	56272	224247
1003	56326	224185
1004	56383	224132
1005	56440	224077
1006	56502	224047
1007	56556	223983
1008	56611	223921
1009	56668	223868
